Image Number,Center X,Center Y,StdDev Horizontal,Std Dev Vertical
104,336.6561093798173,251.17938258703765,5.584269888775618,4.812738974889911
105,338.49750522296745,252.07705913627754,5.543320366201012,5.442573748366097
107,338.0150937851073,252.18608250396494,6.036908819248115,5.0311597932446395
108,337.2951518337468,250.18224258519146,5.881938681047152,6.491905854296189
113,272.4491338841411,308.8369345911772,3.9306201818330053,5.901638358317446
114,274.3616111627661,308.84705520975774,4.644046045611964,5.516775342288276
115,276.16521348060496,307.7328192973856,5.477181608323385,4.274725827291863
116,275.7219694287137,310.13716548933456,5.248785953237486,4.9634566528627255
117,318.9497922417631,311.557654756341,4.404954111761173,5.820314553091814
118,319.1412036522322,309.2162698967087,4.478984811722864,8.01149636027687
119,319.0529158028501,311.2794691857636,4.084462770697858,5.557665052342318
120,319.10116577059574,309.1842470522271,4.386098755065277,8.133763836800041
121,361.7830962316519,312.9030603457879,4.571180054194281,4.907320783558812
122,363.0043086937134,311.7292896961028,2.8960472677148883,5.951933529573732
123,363.19625593743865,311.0733660860651,2.9383205358529714,6.1061913146876945
124,359.63316117679994,311.552139939443,2.821256013884825,5.5763574754572796
125,442.75956343881825,316.115466064729,4.778336574085548,5.530606828021713
126,439.5856299442215,315.1505995864219,2.585590965608122,5.747036062574868
127,440.69585939100426,315.0579828759502,2.7149707354695605,5.752920657180591
128,442.14857834779656,315.935012126325,3.816863855176525,5.744951427518666
129,480.0220424915058,318.0508150479775,2.545818620191014,3.655165569690837
130,480.2961674860558,317.54390725750557,2.605035779868517,3.5415144855244005
131,480.2157699796402,316.6071568907418,2.6092555233226427,3.3584986805507486
132,483.0300110911751,315.06269628406767,2.7300211118973263,3.898312260468843
133,87.11667489567593,294.14241735058243,7.598743409857649,5.19998245236602
134,57.81287299171998,292.38407844216607,2.514015918277811,5.136006470534924
135,56.72481683615359,300.0118009139173,2.857620857781098,4.750166949488199
136,47.21055945404092,294.95922659039326,2.6917302124926694,5.369878030902169
137,82.9740487845219,293.3928921084636,2.4848999003333803,3.9293747558559278
